puesto	tema	tipo	escrito_en_puesto	escrito_en_tema	semejanza	enunciado
30	16	identico	34	20	1.00	Prevención de riesgos laborales aplicada al puesto de trabajo: derechos y obligaciones de las personas trabajadoras en materia preventiva; riesgos generales y específicos del puesto en RTVA/CSRTV; pantallas de visualización de datos, ergonomía y trastornos musculoesqueléticos; accidente in itinere y en misión; equipos de protección individual y medidas preventivas.
32	1	nuevo				La producción audiovisual en radio, televisión y plataformas digitales: concepto, fases, modelos productivos y función estratégica del área de producción.
32	2	nuevo				El puesto de Productor/a en RTVA/CSRTV: planificación, coordinación y control de recursos humanos, técnicos, económicos y materiales para programas, informativos, retransmisiones y contenidos audiovisuales.
32	3	nuevo				Diseño y planificación del plan de producción: análisis de necesidades, cronograma, fases, recursos, prioridades, riesgos, coordinación de áreas y seguimiento del proyecto.
32	4	nuevo				Presupuesto de producción: elaboración, control, desviaciones, imputación de costes, justificación de gastos, seguimiento económico y cierre presupuestario.
32	5	nuevo				Gestión de recursos humanos y condiciones de prestación: dimensionamiento de equipos, convocatorias, turnos, jornadas, desplazamientos, dietas, coordinación territorial y adecuación a la normativa laboral interna.
32	6	nuevo				Gestión de recursos técnicos y materiales: estudios, controles, unidades móviles, cámaras, sonido, iluminación, enlaces, edición, grafismo, continuidad, archivo y sistemas digitales de producción.
32	7	nuevo				Producción de programas en estudio: diseño operativo, coordinación de plató, invitados, público, escaleta, tiempos, recursos técnicos, realización, redacción y necesidades de emisión.
32	8	nuevo				Producción de exteriores, retransmisiones, eventos especiales e informativos: localizaciones, proceso y regulación para la obtención de permisos, logística, seguridad, transporte, telecomunicaciones, directos, urgencias y coordinación institucional.
32	9	nuevo				Producción de contenidos grabados, directos y multiplataforma: captación de imagen y sonido, televisión, radio, web, redes sociales, streaming, podcast, piezas digitales y adaptación de recursos al formato.
32	10	nuevo				Contratación de servicios, suministros y colaboraciones en producción: definición de necesidades, prescripciones, presupuestos, proveedores, seguimiento de ejecución, recepción y conformidad. Principios básicos de contratación pública (Ley de Contratos del Sector Público).
32	11	nuevo				Derechos audiovisuales y documentación jurídica de producción: derechos de imagen, música, archivo, propiedad intelectual, obras preexistentes, menores, autorizaciones y cesiones.
32	12	nuevo				Gestión documental y trazabilidad de la producción: expedientes, contratos, permisos, autorizaciones, partes, órdenes de trabajo, informes y cierres de producción.
